Date,User,Report Name,Schedule,Resend Time,Resent Count,Status
09-09-2025,EBG-INSIGHTS,Sharepoint Report Template includes segment name,Immediate Delivery,09-09-2025 13:37,3,Success
09-09-2025,EBG-INSIGHTS,Sharepoint Report Template includes segment name,Immediate Delivery,09-09-2025 13:23,2,Success
09-09-2025,FNBO-PROD,Alert Delivery - current month 3/13/20 5:17:14 AM,Immediate Delivery,09-09-2025 13:21,3,Success
09-09-2025,EBG-INSIGHTS,Sharepoint Report Template includes segment name,Daily AM 03:00 ET,09-09-2025 12:58,2,Success
09-09-2025,FNBO-PROD,Alert Delivery - current month 3/13/20 5:17:14 AM,Daily AM 03:00 ET,09-09-2025 12:56,2,Success
09-09-2025,EBG-INSIGHTS,Sharepoint Report Template includes segment name,Daily AM 03:00 ET,09-09-2025 12:40,1,Success
09-09-2025,FNBO-PROD,Alert Delivery - current month 3/13/20 5:17:14 AM,Daily AM 03:00 ET,09-09-2025 12:38,1,Success
08-09-2025,EBG-INSIGHTS,Shopping Report - 30 Days,Immediate Delivery,08-09-2025 19:14,2,SUCCESS
08-09-2025,Spartan-Parent,Numbers By Day Campaign Metrics By Event Date_Other_Countries 7/8/24 2:40:27 PM,Immediate Delivery,08-09-2025 19:11,2,SUCCESS
08-09-2025,FNBO-PROD,CLI CLD by Segment Code - Current Month,Immediate Delivery,08-09-2025 18:58,2,SUCCESS
08-09-2025,Spartan-Parent,Numbers By Day Campaign Metrics By Event Date_Other_Countries 7/8/24 2:40:27 PM,Immediate Delivery,08-09-2025 18:53,3,SUCCESS
08-09-2025,EBG-INSIGHTS,Shopping Report - 30 Days,Daily AM 08:30 ET,08-09-2025 18:50,1,SUCCESS
08-09-2025,EBG-INSIGHTS,Sharepoint Report Template 4/26/22 3:04:33 PM,Daily AM 08:15 ET,08-09-2025 18:48,1,SUCCESS
08-09-2025,EBG-INSIGHTS,SL Testing Report,Daily AM 08:30 ET,08-09-2025 18:45,1,SUCCESS
08-09-2025,EBG-INSIGHTS,Shopping Report - 30 Days 10/12/21 4:47:17 PM,Daily AM 08:30 ET,08-09-2025 18:42,1,SUCCESS
08-09-2025,EBG-INSIGHTS,Sharepoint Report Template,Immediate Delivery,08-09-2025 18:40,2,SUCCESS
08-09-2025,Spartan-Parent,Numbers By Day Campaign Metrics By Event Date 9/16/24 5:58:38 PM,Immediate Delivery,08-09-2025 18:37,2,SUCCESS
08-09-2025,FNBO-PROD,CLI CLD by Segment Code - Current Month,Daily AM 08:00 ET,08-09-2025 18:12,1,SUCCESS
08-09-2025,EBG-INSIGHTS,Sharepoint Report Template 9/15/21 8:26:05 PM,Daily AM 08:15 ET,08-09-2025 18:09,1,SUCCESS
08-09-2025,Spartan-Parent,Numbers By Day Campaign Metrics By Event Date_Other_Countries 7/8/24 2:40:27 PM,Immediate Delivery,08-09-2025 18:07,2,SUCCESS
08-09-2025,EBG-INSIGHTS,Sharepoint Report Template,Daily AM 08:00 ET,08-09-2025 17:48,1,SUCCESS
08-09-2025,Spartan-Parent,Numbers By Day Campaign Metrics By Event Date 9/16/24 5:58:38 PM,Daily AM 07:30 ET,08-09-2025 17:33,1,SUCCESS
08-09-2025,Spartan-Parent,Numbers By Day Campaign Metrics By Event Date_Other_Countries 7/8/24 2:40:27 PM,Daily AM 07:30 ET,08-09-2025 17:30,1,SUCCESS
07-09-2025,EBG-INSIGHTS,Sharepoint Report Template 9/15/21 8:26:05 PM,Daily AM 08:15 ET,07-09-2025 18:14,1,SUCCESS
05-09-2025,EBG-INSIGHTS,Sharepoint Report Template includes segment name,Daily AM 03:00 ET,05-09-2025 12:44,1,SUCCESS
05-09-2025,EBG-INSIGHTS,WAG3_7 Day Domain Delivery Report 8/7/24 12:49:36 PM,Once a Week: Friday @ 00:00AM ET,05-09-2025 10:01,1,SUCCESS
05-09-2025,EBG-INSIGHTS,PB_7 Day Domain Delivery Report,Once a Week: Friday @ 00:00AM ET,05-09-2025 09:52,1,SUCCESS
05-09-2025,EBG-INSIGHTS,WA_7 Day Domain Delivery Report,Once a Week: Friday @ 00:00AM ET,05-09-2025 09:40,1,SUCCESS
04-09-2025,FNBO-PROD,7 Day Report,Once a Week: Thursday @ 00:00AM ET,04-09-2025 09:42,1,SUCCESS
04-09-2025,Spartan-Parent,Campaign Weekly Report - Post Race Series 10/2/24 9:25:35 PM,Daily PM 22:00 ET,04-09-2025 07:46,1,SUCCESS
01-09-2025,FNBO-PROD,Alert Delivery - current month 10/4/21 7:03:38 PM,01st Day of Month - 07:30 EST,01-09-2025 19:56,1,SUCCESS
01-09-2025,FNBO-PROD,Alert Delivery - current month 10/4/21 7:03:38 PM,01st Day of Month - 07:30 EST,01-09-2025 19:56,1,SUCCESS
01-09-2025,FNBO-PROD,Alert Delivery - current month 07/21 1/14/21 8:57:08 PM,01st Day of Month - 07:30 EST,01-09-2025 19:49,1,SUCCESS
01-09-2025,FNBO-PROD,Alert Delivery - current month 07/21 1/14/21 8:57:08 PM,01st Day of Month - 07:30 EST,01-09-2025 19:49,1,SUCCESS
01-09-2025,FNBO-PROD,Alert Delivery - current month 07/21 10/4/21 7:00:42 PM,01st Day of Month - 07:30 EST,01-09-2025 19:22,1,SUCCESS
01-09-2025,FNBO-PROD,Alert Delivery - current month 07/21 10/4/21 7:00:42 PM,01st Day of Month - 07:30 EST,01-09-2025 19:22,1,SUCCESS
01-09-2025,FNBO-PROD,Alert Delivery - current month 07/21 10/5/21 5:42:22 PM,01st Day of Month - 07:30 EST,01-09-2025 19:12,1,SUCCESS
01-09-2025,FNBO-PROD,Alert Delivery - current month 07/21 10/5/21 5:42:22 PM,01st Day of Month - 07:30 EST,01-09-2025 19:12,1,SUCCESS
01-09-2025,EBG-INSIGHTS,Monthly Link Click Report v2,01st Day of Month - 07:30 EST,01-09-2025 19:10,1,SUCCESS
01-09-2025,EBG-INSIGHTS,Monthly Link Click Report v2,01st Day of Month - 07:30 EST,01-09-2025 19:10,1,SUCCESS
01-09-2025,FNBO-PROD,Alert Delivery - current month 10/4/21 7:03:38 PM,Immediate Delivery,01-09-2025 18:57,2,SUCCESS
01-09-2025,FNBO-PROD,Alert Delivery - current month 10/4/21 7:03:38 PM,Immediate Delivery,01-09-2025 18:57,2,SUCCESS
01-09-2025,EBG-INSIGHTS,Link Report v2 4/20/22 10:32:17 AM,Daily AM 08:00 ET,01-09-2025 18:55,1,SUCCESS
01-09-2025,EBG-INSIGHTS,Link Report v2 4/20/22 10:32:17 AM,Daily AM 08:00 ET,01-09-2025 18:55,1,SUCCESS
01-09-2025,EBG-INSIGHTS,EBG AI related DataSet,01st Day of Month - 05:30 EST,01-09-2025 18:52,1,SUCCESS
01-09-2025,EBG-INSIGHTS,EBG AI related DataSet,01st Day of Month - 05:30 EST,01-09-2025 18:52,1,SUCCESS
01-09-2025,FNBO-PROD,Alert Delivery - current month 07/21 10/4/21 7:00:42 PM,Immediate Delivery,01-09-2025 18:49,2,SUCCESS
01-09-2025,FNBO-PROD,Alert Delivery - current month 07/21 10/4/21 7:00:42 PM,Immediate Delivery,01-09-2025 18:49,2,SUCCESS
01-09-2025,FNBO-PROD,Alert Delivery - current month 07/21 10/5/21 5:42:22 PM,Immediate Delivery,01-09-2025 18:47,2,SUCCESS
01-09-2025,FNBO-PROD,Alert Delivery - current month 07/21 10/5/21 5:42:22 PM,Immediate Delivery,01-09-2025 18:47,2,SUCCESS
01-09-2025,FNBO-PROD,Alert Delivery - current month 07/21 1/14/21 8:57:08 PM,Immediate Delivery,01-09-2025 17:51,2,SUCCESS
01-09-2025,FNBO-PROD,Alert Delivery - current month 07/21 1/14/21 8:57:08 PM,Immediate Delivery,01-09-2025 17:51,2,SUCCESS
01-09-2025,FNBO-PROD,Alert Delivery - current month 07/21 10/5/21 5:42:22 PM,Immediate Delivery,01-09-2025 17:48,2,SUCCESS
01-09-2025,FNBO-PROD,Alert Delivery - current month 07/21 10/5/21 5:42:22 PM,Immediate Delivery,01-09-2025 17:48,2,SUCCESS
01-09-2025,FNBO-PROD,Alert Delivery - current month 07/21 1/14/21 8:57:08 PM,Immediate Delivery,01-09-2025 17:40,2,SUCCESS
01-09-2025,FNBO-PROD,Alert Delivery - current month 07/21 1/14/21 8:57:08 PM,Immediate Delivery,01-09-2025 17:40,2,SUCCESS
01-09-2025,EBG-INSIGHTS,Shopping Report TAW 9/2/24 7:37:38 AM,Once a Week: Friday @ 00:00AM ET,01-09-2025 17:32,1,SUCCESS
01-09-2025,EBG-INSIGHTS,Shopping Report TAW 9/2/24 7:37:38 AM,Once a Week: Friday @ 00:00AM ET,01-09-2025 17:32,1,SUCCESS
31-08-2025,EBG-INSIGHTS,Shopping Report TAW 9/2/24 7:37:38 AM,Once a Week: Friday @ 00:00AM ET,31-08-2025 22:49,1,SUCCESS
31-08-2025,EBG-INSIGHTS,Sharepoint Report Template 9/15/21 8:26:05 PM,Daily AM 08:15 ET,31-08-2025 22:46,2,SUCCESS
31-08-2025,EBG-INSIGHTS,Sharepoint Report Template 9/15/21 8:26:05 PM,Daily AM 08:15 ET,31-08-2025 18:12,1,SUCCESS
29-08-2025,EBG-INSIGHTS,PB_7 Day Domain Delivery Report,Once a Week: Friday @ 00:00AM ET ,29-08-2025 17:04,1,SUCCESS
29-08-2025,EBG-INSIGHTS,PB_7 Day Domain Delivery Report,Immediate delivery,29-08-2025 16:53,2,SUCCESS
29-08-2025,EBG-INSIGHTS,Shopping Report TAW 9/2/24 7:37:38 AM,Immediate delivery,29-08-2025 14:10,2,SUCCESS
29-08-2025,EBG-INSIGHTS,Shopping Report TAW 9/2/24 7:37:38 AM,Once a Week: Friday @ 00:00AM ET ,29-08-2025 13:51,1,SUCCESS
29-08-2025,EBG-INSIGHTS,Sharepoint Report Template includes segment name,Daily AM 03:00 ET ,29-08-2025 12:59,1,SUCCESS
29-08-2025,FNBO-PROD,Alert Delivery - current month 3/13/20 5:17:14 AM,Daily AM 03:00 ET ,29-08-2025 12:52,1,SUCCESS
27-08-2025,Spartan-Parent,Campaign Weekly Report - Post Race Series 10/2/24 9:25:35 PM,Immediate Delivery,27-08-2025 08:01,2,SUCCESS
